Country,Periodo,US$
Argentina,1970,31584210366
Argentina,1980,76961923742
Argentina,1990,141352000000
Argentina,2000,284204000000
Argentina,2010,423627000000
Argentina,2019,449663000000
Bolivia,1970,1017003367
Bolivia,1980,4526916803
Bolivia,1990,4867582620
Bolivia,2000,8397912509
Bolivia,2010,19649631451
Bolivia,2019,40895322865
Brazil,1970,42327600098
Brazil,1980,235025000000
Brazil,1990,461952000000
Brazil,2000,655421000000
Brazil,2010,2208870000000
Brazil,2019,1839760000000
Chile,1970,9126309735
Chile,1980,29036709872
Chile,1990,33113887818
Chile,2000,77860932152
Chile,2010,218538000000
Chile,2019,282318000000
Colombia,1970,7198360460
Colombia,1980,33400735644
Colombia,1990,47844090710
Colombia,2000,99886577331
Colombia,2010,286563000000
Colombia,2019,323803000000
Ecuador,1970,2862504170
Ecuador,1980,17881514683
Ecuador,1990,15239278100
Ecuador,2000,18327764882
Ecuador,2010,69555367000
Ecuador,2019,107436000000
Peru,1970,7432223177
Peru,1980,18134029180
Peru,1990,26410386669
Peru,2000,51744749133
Peru,2010,147529000000
Peru,2019,226848000000
Paraguay,1970,594611111
Paraguay,1980,4448087302
Paraguay,1990,5812114523
Paraguay,2000,8855705140
Paraguay,2010,27215968616
Paraguay,2019,38145288940
Uruguay,1970,2137096774
Uruguay,1980,10163020116
Uruguay,1990,9298839655
Uruguay,2000,22823255802
Uruguay,2010,40284481652
Uruguay,2019,56045912952
Venezuela,1970,11561111111
Venezuela,1980,59116511628
Venezuela,1990,48598315565
Venezuela,2000,117141000000
Venezuela,2010,393192000000
Venezuela,2019,0
